env_step,episode_reward,env,seed,agent
100000.0,53.545046997070315,dog-run,1,iQRL
200000.0,103.46792068481446,dog-run,1,iQRL
300000.0,170.103271484375,dog-run,1,iQRL
400000.0,215.7789505004883,dog-run,1,iQRL
500000.0,254.35648193359376,dog-run,1,iQRL
600000.0,286.7428939819336,dog-run,1,iQRL
700000.0,338.45835876464844,dog-run,1,iQRL
800000.0,341.3838165283203,dog-run,1,iQRL
900000.0,379.2228607177734,dog-run,1,iQRL
1000000.0,411.2544647216797,dog-run,1,iQRL
1100000.0,432.0552581787109,dog-run,1,iQRL
1200000.0,447.5706909179688,dog-run,1,iQRL
1300000.0,454.94695739746095,dog-run,1,iQRL
1400000.0,467.6897430419922,dog-run,1,iQRL
1500000.0,467.4707794189453,dog-run,1,iQRL
1600000.0,488.1150360107422,dog-run,1,iQRL
1700000.0,483.0769317626953,dog-run,1,iQRL
1800000.0,489.7691955566406,dog-run,1,iQRL
1900000.0,488.77598571777344,dog-run,1,iQRL
2000000.0,485.6275207519531,dog-run,1,iQRL
2100000.0,496.2860992431641,dog-run,1,iQRL
2200000.0,492.993603515625,dog-run,1,iQRL
2300000.0,486.3485931396484,dog-run,1,iQRL
2400000.0,490.0330200195313,dog-run,1,iQRL
2500000.0,477.7063842773438,dog-run,1,iQRL
2600000.0,494.1707427978516,dog-run,1,iQRL
2700000.0,506.5799072265625,dog-run,1,iQRL
2800000.0,505.62745056152346,dog-run,1,iQRL
2900000.0,496.5708251953125,dog-run,1,iQRL
3000000.0,508.08399658203126,dog-run,1,iQRL
100000.0,50.95866928100586,dog-run,2,iQRL
200000.0,102.51293334960936,dog-run,2,iQRL
300000.0,144.2646984100342,dog-run,2,iQRL
400000.0,199.23066253662108,dog-run,2,iQRL
500000.0,245.90381469726563,dog-run,2,iQRL
600000.0,292.1146545410156,dog-run,2,iQRL
700000.0,318.3158752441406,dog-run,2,iQRL
800000.0,337.76247253417966,dog-run,2,iQRL
900000.0,379.2822692871094,dog-run,2,iQRL
1000000.0,392.7483825683594,dog-run,2,iQRL
1100000.0,426.0999145507813,dog-run,2,iQRL
1200000.0,445.29173583984374,dog-run,2,iQRL
1300000.0,454.56651916503904,dog-run,2,iQRL
1400000.0,461.9953948974609,dog-run,2,iQRL
1500000.0,469.12733459472656,dog-run,2,iQRL
1600000.0,469.95973815917966,dog-run,2,iQRL
1700000.0,494.1248352050781,dog-run,2,iQRL
1800000.0,498.8471435546875,dog-run,2,iQRL
1900000.0,486.8276062011719,dog-run,2,iQRL
2000000.0,514.5149841308594,dog-run,2,iQRL
2100000.0,503.86156005859374,dog-run,2,iQRL
2200000.0,511.0650390625,dog-run,2,iQRL
2300000.0,517.822787475586,dog-run,2,iQRL
2400000.0,520.556918334961,dog-run,2,iQRL
2500000.0,537.5442901611328,dog-run,2,iQRL
2600000.0,535.7887329101562,dog-run,2,iQRL
2700000.0,553.0918395996093,dog-run,2,iQRL
2800000.0,549.1354675292969,dog-run,2,iQRL
2900000.0,556.2250183105468,dog-run,2,iQRL
3000000.0,546.9923492431641,dog-run,2,iQRL
100000.0,51.5597339630127,dog-run,3,iQRL
200000.0,105.1405876159668,dog-run,3,iQRL
300000.0,137.18961639404296,dog-run,3,iQRL
400000.0,181.8992721557617,dog-run,3,iQRL
500000.0,219.1516662597656,dog-run,3,iQRL
600000.0,258.52999420166014,dog-run,3,iQRL
700000.0,281.56911315917966,dog-run,3,iQRL
800000.0,306.16893005371094,dog-run,3,iQRL
900000.0,319.6142303466797,dog-run,3,iQRL
1000000.0,336.9562103271484,dog-run,3,iQRL
1100000.0,357.1805847167969,dog-run,3,iQRL
1200000.0,367.42091369628906,dog-run,3,iQRL
1300000.0,381.3814361572266,dog-run,3,iQRL
1400000.0,386.82103271484374,dog-run,3,iQRL
1500000.0,398.3291961669922,dog-run,3,iQRL
1600000.0,403.5718658447266,dog-run,3,iQRL
1700000.0,416.2850006103516,dog-run,3,iQRL
1800000.0,409.56276245117186,dog-run,3,iQRL
1900000.0,422.8451385498047,dog-run,3,iQRL
2000000.0,436.7481567382813,dog-run,3,iQRL
2100000.0,455.7529876708985,dog-run,3,iQRL
2200000.0,459.3775909423828,dog-run,3,iQRL
2300000.0,445.4644012451172,dog-run,3,iQRL
2400000.0,471.90537414550784,dog-run,3,iQRL
2500000.0,472.85332946777345,dog-run,3,iQRL
2600000.0,478.6602813720703,dog-run,3,iQRL
2700000.0,461.76691284179685,dog-run,3,iQRL
2800000.0,470.5307281494141,dog-run,3,iQRL
2900000.0,474.3506378173828,dog-run,3,iQRL
3000000.0,502.4979187011719,dog-run,3,iQRL
100000.0,201.3453628540039,dog-stand,1,iQRL
200000.0,589.2745056152344,dog-stand,1,iQRL
300000.0,814.7500671386719,dog-stand,1,iQRL
400000.0,783.796142578125,dog-stand,1,iQRL
500000.0,890.7236022949219,dog-stand,1,iQRL
600000.0,854.7052124023437,dog-stand,1,iQRL
700000.0,898.0311401367187,dog-stand,1,iQRL
800000.0,924.4141418457032,dog-stand,1,iQRL
900000.0,942.4280334472656,dog-stand,1,iQRL
1000000.0,900.9337951660156,dog-stand,1,iQRL
1100000.0,902.306494140625,dog-stand,1,iQRL
1200000.0,957.196337890625,dog-stand,1,iQRL
1300000.0,955.1338317871092,dog-stand,1,iQRL
1400000.0,950.2925170898436,dog-stand,1,iQRL
1500000.0,957.2423278808594,dog-stand,1,iQRL
1600000.0,956.9887756347656,dog-stand,1,iQRL
1700000.0,947.8539245605468,dog-stand,1,iQRL
1800000.0,949.2973449707032,dog-stand,1,iQRL
1900000.0,930.587664794922,dog-stand,1,iQRL
2000000.0,943.4077514648436,dog-stand,1,iQRL
2100000.0,960.8119140625,dog-stand,1,iQRL
2200000.0,964.7757934570312,dog-stand,1,iQRL
2300000.0,965.9298095703124,dog-stand,1,iQRL
2400000.0,957.8498107910156,dog-stand,1,iQRL
2500000.0,951.9396911621094,dog-stand,1,iQRL
2600000.0,949.907177734375,dog-stand,1,iQRL
2700000.0,959.4152954101562,dog-stand,1,iQRL
2800000.0,953.965771484375,dog-stand,1,iQRL
2900000.0,957.789794921875,dog-stand,1,iQRL
3000000.0,972.0008911132812,dog-stand,1,iQRL
100000.0,303.0786560058594,dog-stand,2,iQRL
200000.0,534.4337982177734,dog-stand,2,iQRL
300000.0,739.0673095703125,dog-stand,2,iQRL
400000.0,851.1027770996094,dog-stand,2,iQRL
500000.0,899.5718566894532,dog-stand,2,iQRL
600000.0,928.1732788085938,dog-stand,2,iQRL
700000.0,928.1034240722656,dog-stand,2,iQRL
800000.0,926.670635986328,dog-stand,2,iQRL
900000.0,940.6634399414064,dog-stand,2,iQRL
1000000.0,952.1736938476564,dog-stand,2,iQRL
