eval/return/2aaoa98u,eval/return/acjz38un,eval/return/qer0j081,eval/return/5xwo7yxr,eval/return/vzm3wv5u,eval/return/fd0tcb3v,eval/return/39jd8o4t,eval/return/k3tyfl30,eval/return/jec1qe1o,eval/return/tamtn5vt,step,wallclock
18.97235107421875,43.01654815673828,15.018499374389648,16.784412384033203,17.52495574951172,5.069109916687012,8.674532890319824,6.664059162139893,8.263566970825195,48.663665771484375,1.0,0.0
296.0192565917969,320.153564453125,289.04693603515625,294.7624206542969,42.701576232910156,223.11541748046875,334.648193359375,119.8919906616211,280.9264221191406,286.5388488769531,16666.0,0.003319273916659532
489.2564392089844,25.41278648376465,971.5648803710938,808.9312133789062,349.9151916503906,308.83905029296875,381.3202819824219,49.982357025146484,301.3003234863281,352.4385681152344,33332.0,0.006638547833319064
10.374554634094238,485.18817138671875,572.6731567382812,1233.8753662109375,598.570068359375,462.32513427734375,496.1257019042969,596.27392578125,450.1285095214844,392.6304626464844,49998.0,0.009957821749978595
842.267822265625,826.0419311523438,1628.8358154296875,1110.9173583984375,949.2603759765625,932.9926147460938,85.14386749267578,579.0054321289062,373.88946533203125,391.1784973144531,66664.0,0.013277095666638128
941.6669311523438,917.8850708007812,757.5323486328125,1000.022216796875,1289.7685546875,643.75634765625,887.0026245117188,649.6055908203125,848.5487060546875,488.1526794433594,83330.0,0.01659636958329766
834.073974609375,918.4445190429688,1015.2844848632812,1166.652587890625,1663.4888916015625,1717.420654296875,1017.83447265625,988.9866333007812,1303.514404296875,408.25726318359375,99996.0,0.01991564349995719
1184.8145751953125,1246.6641845703125,3142.935302734375,1270.057861328125,3291.089599609375,812.5020141601562,2068.005126953125,819.3165283203125,978.3912353515625,760.4415893554688,116662.0,0.023234917416616725
2674.49951171875,1850.2982177734375,1664.9134521484375,1223.9566650390625,2453.5615234375,1355.5274658203125,1128.85546875,758.1546630859375,759.0648193359375,549.3054809570312,133328.0,0.026554191333276255
1214.0093994140625,965.8260498046875,294.8772277832031,2505.662841796875,1333.8511962890625,1314.0235595703125,1156.2550048828125,763.5144653320312,918.5455322265625,1366.5830078125,149994.0,0.029873465249935786
1175.8533935546875,1481.897216796875,3122.4794921875,1034.71484375,3336.165283203125,3126.674560546875,675.2334594726562,555.8875732421875,1403.38671875,1099.3369140625,166660.0,0.03319273916659532
