eval/return/yrp54ccz,eval/return/8ijn9b1d,eval/return/7l4hzuv5,eval/return/jhd24ua7,eval/return/i91cq4vx,eval/return/r1njeml3,eval/return/9lpcpxmp,eval/return/3kbjkcq7,eval/return/53rner56,eval/return/7abx8o9g,step,wallclock
51745.35546875,54850.80078125,43972.5,51267.22265625,55918.265625,52332.18359375,47343.3359375,61770.1640625,81839.1796875,49083.11328125,1.0,0.0
78961.8671875,48352.33984375,121785.7421875,122584.59375,120011.9296875,103318.2734375,70749.6875,65615.078125,124174.65625,120580.8046875,16666.0,0.004964417698979378
119814.375,130564.5703125,131866.734375,133079.34375,65714.5390625,103301.5859375,92820.9453125,88110.125,134621.265625,121416.9921875,33332.0,0.009928835397958757
135045.171875,130237.0078125,135335.09375,131063.34375,123568.3203125,128699.171875,85280.375,124647.390625,136077.71875,145854.59375,49998.0,0.014893253096938135
118766.734375,130842.578125,136500.1875,131277.71875,129448.09375,122639.2109375,96311.515625,128976.5,136130.765625,144088.3125,66664.0,0.019857670795917513
123712.5234375,143761.90625,136110.03125,131166.71875,137545.6875,136023.15625,91126.328125,143851.71875,122953.8515625,144726.890625,83330.0,0.024822088494896893
133630.59375,145562.21875,136174.25,135629.609375,130005.265625,136374.578125,103701.0,144559.59375,130361.4296875,143583.078125,99996.0,0.02978650619387627
130605.953125,143696.375,132168.28125,138445.3125,81372.8671875,135841.546875,129531.4296875,145093.09375,136347.15625,145783.171875,116662.0,0.03475092389285565
135844.21875,144788.875,136507.953125,140774.328125,139384.5,135363.390625,104092.1953125,143648.359375,132816.484375,143747.3125,133328.0,0.03971534159183503
132741.671875,145077.265625,136890.578125,141601.375,142404.359375,136428.453125,129916.046875,145582.046875,136490.984375,143929.546875,149994.0,0.04467975929081441
135224.625,145158.71875,144931.921875,141446.53125,131627.203125,136013.796875,129761.6484375,145098.0625,137067.578125,145809.984375,166660.0,0.04964417698979379
132056.796875,144083.46875,137288.28125,141729.40625,139741.015625,136617.359375,129766.9765625,144613.734375,141795.90625,148118.671875,183326.0,0.05460859468877316
138468.8125,113632.4140625,136961.90625,141052.828125,141059.609375,131337.71875,130082.09375,146042.28125,143614.21875,147165.65625,199992.0,0.05957301238775254
